date,account_type,account_name,transaction_type,amount,category,description,status,reference
2026-03-16,Credit Card,Kotak Credit Card,payment,33424.53,Payment,Kotak CC payment (1 day late - late fee applied),paid,verified_via_ledger_2026-03-17_0012
2026-03-05,domain,wroomhq.com,purchase,2301.00,domains,wroomhq.com domain purchase,paid,Namecheap
2026-03-10,gst,GSTR1 Feb 2026,filing,0.00,tax,GSTR1 filed for Feb 2026 (ARN: AA330226620425L),completed,GST/receipts/GSTR1_Feb2026_33CPPPP9015J1ZF.pdf
2026-03-31,Credit Card,Scapia Federal Credit Card,dispute,96582.61,fraud_dispute,Unauthorized ANT*alibaba Luxembourg Nl debit (txn date 2026-03-27) - chargeback requested via Federal Bank,disputed_pending,FBSR0005241912|CyberCrime:22903260029681|Alibaba:0065ACK6Y2
2026-03-20,Credit Card,Scapia Federal Credit Card,total_due,49968.80,Credit Card,March 2026 statement total due (period 20-Feb-2026 to 19-Mar-2026),confirmed,finance/raw_data/2026-04/scapia_mar2026.pdf
2026-03-20,Credit Card,Scapia Federal Credit Card,min_due,7672.32,Credit Card,March 2026 statement minimum due; due date 07-Apr-2026 (from statement mail),confirmed,finance/raw_data/2026-04/scapia_mar2026.pdf
2026-03-25,Credit Card,Kotak Royale Credit Card,total_due,17333.67,Credit Card,Mar-2026 statement total amount due; pay by 12-Apr-2026,confirmed,finance/raw_data/2026-04/kotak_mar2026.pdf
2026-03-25,Credit Card,Kotak Royale Credit Card,min_due,8703.11,Credit Card,Mar-2026 statement minimum amount due,confirmed,finance/raw_data/2026-04/kotak_mar2026.pdf
2026-03-18,Credit Card,Amazon Pay ICICI Credit Card,total_due,44900.18,Credit Card,Statement period 19-Feb-2026 to 18-Mar-2026; due date 05-Apr-2026,confirmed,finance/raw_data/2026-04/icici_mar2026.pdf
2026-03-18,Credit Card,Amazon Pay ICICI Credit Card,min_due,2300.00,Credit Card,Statement minimum amount due,confirmed,finance/raw_data/2026-04/icici_mar2026.pdf
